arxiv_id,field,field_label,category,license_label,license,citations,year,venue,published,doi,journal_ref,authors,title
1711.08195,cs,Computer Science,cs.CL,CC-BY,http://creativecommons.org/licenses/by/4.0/,660,2017,Annual Meeting of the Association for Computational Linguistics,True,10.18653/v1/P18-1240,,"Baoyu Jing, Pengtao Xie, Eric Xing",On the Automatic Generation of Medical Imaging Reports
1812.10968,cs,Computer Science,cs.RO,CC-BY,http://creativecommons.org/licenses/by/4.0/,269,2018,2019 1st International Conference on Unmanned Vehicle Systems-Oman (UVS),True,,"The 1st Unmanned Vehicle Systems conference in Oman, Feb 2019","Bilel Benjdira, Taha Khursheed, Anis Koubaa, Adel Ammar, Kais Ouni",Car Detection using Unmanned Aerial Vehicles: Comparison between Faster R-CNN and YOLOv3
1901.06081,cs,Computer Science,cs.CV,CC0,http://creativecommons.org/publicdomain/zero/1.0/,157,,,True,10.1016/j.patcog.2019.01.025,,"Sheng He, Lambert Schomaker",DeepOtsu: Document Enhancement and Binarization using Iterative Deep Learning
1812.10405,cs,Computer Science,cs.CY,CC-BY,http://creativecommons.org/licenses/by/4.0/,121,2018,Applied Energy,True,10.1016/j.apenergy.2018.11.097,"Applied Energy 236 (2019), 401-409","Frauke Wiese, Ingmar Schlecht, Wolf-Dieter Bunke, Clemens Gerbaulet, Lion Hirth, Martin Jahn, Friedrich Kunz, Casimir Lorenz, Jonathan Mühlenpfordt, Juliane Reimann, Wolf-Peter Schill",Open Power System Data - Frictionless data for electricity system modelling
1610.04546,cs,Computer Science,cs.SE,CC-BY,http://creativecommons.org/licenses/by/4.0/,88,2016,PLoS Comput. Biol.,True,10.1371/journal.pcbi.1005412,,"Morgan Taschuk, Greg Wilson",Ten Simple Rules for Making Research Software More Robust
1703.01203,cs,Computer Science,cs.LG,CC-BY,http://creativecommons.org/licenses/by/4.0/,55,2017,Neural Networks,True,10.1016/j.neunet.2017.07.014,"Neural Networks 94 (2017), 255-259","A. N. Gorban, I. Y. Tyukin",Stochastic Separation Theorems
1311.6556,cs,Computer Science,cs.LG,CC-BY,http://creativecommons.org/licenses/by/3.0/,53,2013,Pacific-Asia Conference on Knowledge Discovery and Data Mining,True,10.1007/978-3-319-57454-7_53,DBLP:conf/pakdd/2017-1,"Naresh Manwani, Kalpit Desai, Sanand Sasidharan, Ramasubramanian Sundararajan",Double Ramp Loss Based Reject Option Classifier
1708.06828,cs,Computer Science,cs.CL,CC0,http://creativecommons.org/publicdomain/zero/1.0/,50,2017,IEEE International Joint Conference on Neural Network,True,,"In Proceedings of the International Joint Conference on Neural Networks, of IJCNN'17, pages 4363--4370, Anchorage, AK, 2017","Bonggun Shin, Falgun H. Chokshi, Timothy Lee, Jinho D. Choi",Classification of Radiology Reports Using Neural Attention Models
1706.03675,cs,Computer Science,cs.SI,CC-BY,http://creativecommons.org/licenses/by/4.0/,44,2017,Algorithms,True,10.3390/a10030093,"Algorithms 10, no. 3: 93 (2017)","William H. Weir, Scott Emmons, Ryan Gibson, Dane Taylor, Peter J. Mucha",Post-processing partitions to identify domains of modularity optimization
1708.08801,cs,Computer Science,cs.IT,CC-BY,http://creativecommons.org/licenses/by/4.0/,28,2017,IEEE Communications Letters,True,10.1109/LCOMM.2017.2747550,,"Monirosharieh Vameghestahbanati, Ebrahim Bedeer, Ian Marsland, Ramy H. Gohary, Halim Yanikomeroglu",Enabling Sphere Decoding for SCMA
1706.03827,cs,Computer Science,cs.CR,CC0,http://creativecommons.org/publicdomain/zero/1.0/,28,2017,Conference on Computer and Communications Security,True,10.1145/3133956.3134051,Proc. ACM Conf. on Computer and Communications Security (CCS) 2017,"Daniel S. Roche, Adam J. Aviv, Seung Geol Choi, Travis Mayberry","Deterministic, Stash-Free Write-Only ORAM"
1706.09667,cs,Computer Science,cs.IT,CC-BY,http://creativecommons.org/licenses/by/4.0/,27,2017,Entropy,True,10.3390/e19070310,"Entropy (2017), 19(7), 310","Maxinder S. Kanwal, Joshua A. Grochow, Nihat Ay",Comparing Information-Theoretic Measures of Complexity in Boltzmann Machines
1906.12134,econ,Economics,stat.CO,CC-BY,http://creativecommons.org/licenses/by/4.0/,170,2016,,True,10.18637/jss.v069.i05,"Journal of Statistical Software, 69(5), 1-30 (2016)",Gregor Kastner,Dealing with Stochastic Volatility in Time Series Using the R Package stochvol
2011.05658,econ,Economics,econ.GN,CC-BY,http://creativecommons.org/licenses/by/4.0/,130,2020,Crime Science,True,10.1186/s40163-020-00131-8,"Crime Sci 9, 21 (2020)","Gian Maria Campedelli, Serena Favarin, Alberto Aziani, Alex R. Piquero",Disentangling Community-level Changes in Crime Trends During the COVID-19 Pandemic in Chicago
1906.08667,econ,Economics,physics.soc-ph,CC-BY,http://creativecommons.org/licenses/by/4.0/,61,2019,Scientific Reports,True,10.1038/s41598-019-47198-1,"Scientific Reports, 2019","Johannes Wachs, János Kertész",A network approach to cartel detection in public auction markets
2003.11021,econ,Economics,stat.OT,CC-BY-SA,http://creativecommons.org/licenses/by-sa/4.0/,57,2020,,True,10.1007/s12103-020-09578-6,Am J Crim Just (2020),"Gian Maria Campedelli, Alberto Aziani, Serena Favarin",Exploring the Effects of COVID-19 Containment Policies on Crime: An Empirical Analysis of the Short-term Aftermath in Los Angeles
2003.06987,econ,Economics,econ.GN,CC-BY,http://creativecommons.org/licenses/by/4.0/,42,2020,Applied Energy,True,10.1016/j.apenergy.2020.115466,"Applied Energy, Volume 276, 15 October 2020, 115466","Kelvin Say, Wolf-Peter Schill, Michele John",Degrees of displacement: The impact of household PV battery prosumage on utility generation and storage
1901.09145,econ,Economics,stat.AP,CC0,http://creativecommons.org/publicdomain/zero/1.0/,11,2018,Physica A: Statistical Mechanics and its Applications,True,10.1016/j.physa.2018.02.167,"Physica A: Statistical Mechanics and its Applications, Volume 503, 1 August 2018, Pages 304-321","Maria C Mariani, Md Al Masum Bhuiyan, Osei K Tweneboah, Hector Gonzalez-Huizar, Ionut Florescu",Volatility Models Applied to Geophysics and High Frequency Financial Market Data
1710.04196,eess,Electrical Engineering,cs.SD,CC-BY,http://creativecommons.org/licenses/by/4.0/,674,2017,"IEEE International Conference on Acoustics, Speech, and Signal Processing",True,10.1109/ICASSP.2018.8461310,,"Robin Scheibler, Eric Bezzam, Ivan Dokmanić",Pyroomacoustics: A Python package for audio room simulations and array processing algorithms
1808.07940,eess,Electrical Engineering,eess.SP,CC-BY,http://creativecommons.org/licenses/by/4.0/,219,2018,Journal of Lightwave Technology,True,10.1109/JLT.2019.2895237,,"Daniel Semrau, Robert I. Killey, Polina Bayvel",A Closed-Form Approximation of the Gaussian Noise Model in the Presence of Inter-Channel Stimulated Raman Scattering
1904.11985,eess,Electrical Engineering,eess.IV,CC-BY,http://creativecommons.org/licenses/by/4.0/,195,2019,Nature Communications,True,10.1038/s41467-019-10057-8,,"Piergiorgio Caramazza, Oisín Moran, Roderick Murray-Smith, Daniele Faccio",Transmission of natural scene images through a multimode fibre
1801.02460,eess,Electrical Engineering,eess.SP,CC-BY,http://creativecommons.org/licenses/by/4.0/,164,2017,Journal of Lightwave Technology,True,10.1109/JLT.2018.2830973,,"Daniel Semrau, Polina Bayvel",The Gaussian Noise Model in the Presence of Inter-channel Stimulated Raman Scattering
1806.01506,eess,Electrical Engineering,cs.SD,CC0,http://creativecommons.org/publicdomain/zero/1.0/,144,2018,Asia-Pacific Signal and Information Processing Association Annual Summit and Conference,True,10.23919/APSIPA.2018.8659587,2018 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),"Yuanyuan Zhang, Jun Du, Zirui Wang, Jianshu Zhang",Attention Based Fully Convolutional Network for Speech Emotion Recognition
1807.11094,eess,Electrical Engineering,cs.SD,CC-BY,http://creativecommons.org/licenses/by/4.0/,122,2018,Italian National Conference on Sensors,True,10.3390/s18103418,"Sensors 2018, (volume 18(10), 3418)","Juan Manuel Vera-Diaz, Daniel Pizarro, Javier Macias-Guarasa",Towards End-to-End Acoustic Localization using Deep Learning: from Audio Signal to Source Position Coordinates
1807.02776,eess,Electrical Engineering,cs.SD,CC-BY,http://creativecommons.org/licenses/by/4.0/,32,2017,European Signal Processing Conference,True,10.23919/EUSIPCO.2017.8081506,,Thomas Pellegrini,Densely Connected CNNs for Bird Audio Detection
1711.09072,eess,Electrical Engineering,nlin.CD,CC-BY,http://creativecommons.org/licenses/by/4.0/,19,2017,Chaos,True,10.1063/1.5002097,,"Nicolás Rubido, Celso Grebogi, Murilo S. Baptista",Entropy-based Generating Markov Partitions for Complex Systems
1710.00782,eess,Electrical Engineering,eess.SP,CC-BY,http://creativecommons.org/licenses/by/4.0/,17,2017,Journal of Lightwave Technology,True,10.1109/JLT.2017.2777452,,"Daniel Semrau, Domanic Lavery, Lidia Galdino, Robert I. Killey, Polina Bayvel",The Impact of Transceiver Noise on Digital Nonlinearity Compensation
1804.08545,eess,Electrical Engineering,eess.SP,CC-BY,http://creativecommons.org/licenses/by/4.0/,12,2018,Journal of Lightwave Technology,True,10.1109/JLT.2018.2868115,,"Tom Sherborne, Benjamin Banks, Daniel Semrau, Robert I. Killey, Polina Bayvel, Domaniç Lavery",On the Impact of Fixed Point Hardware for Optical Fiber Nonlinearity Compensation Algorithms
1902.00481,math,Mathematics,cond-mat.stat-mech,CC-BY,http://creativecommons.org/licenses/by/4.0/,116,2019,Physical Review X,True,10.1103/PhysRevX.9.011019,"Phys. Rev. X 9, 011019 (2019)","D. Krapf, N. Lukat, E. Marinari, R. Metzler, G. Oshanin, C. Selhuber-Unkel, A. Squarcini, L. Stadler, M. Weiss, X. Xu",Spectral content of a single non-Brownian trajectory
1811.04812,math,Mathematics,hep-th,CC-BY-SA,http://creativecommons.org/licenses/by-sa/4.0/,69,2018,Journal of High Energy Physics,True,10.1007/JHEP01(2019)228,JHEP01(2019)228,"Katsushi Ito, Marcos Mariño, Hongfei Shu",TBA equations and resurgent Quantum Mechanics
1804.00055,math,Mathematics,quant-ph,CC-BY,http://creativecommons.org/licenses/by/4.0/,66,2018,Quantum,True,10.22331/q-2019-02-14-122,"Quantum 3, 122 (2019)",Hari Krovi,An efficient high dimensional quantum Schur transform
1507.05405,math,Mathematics,math.DG,CC-BY-SA,http://creativecommons.org/licenses/by-sa/4.0/,58,2015,,True,10.3842/SIGMA.2017.059,"SIGMA 13 (2017), 059, 22 pages","Andrew James Bruce, Katarzyna Grabowska, Janusz Grabowski",Remarks on Contact and Jacobi Geometry
1607.00833,math,Mathematics,math.GT,CC-BY,http://creativecommons.org/licenses/by/4.0/,49,2016,,True,10.1016/j.jfa.2016.12.021,"J. Funct. Anal. 272. no. 9, 3573-3595, 2017","Huabin Ge, Wenshuai Jiang","On the deformation of inversive distance circle packings, II"
1410.6086,math,Mathematics,math.PR,CC-BY,http://creativecommons.org/licenses/by/4.0/,45,2014,,True,,"Markov Processes And Related Fields, 2016, volume 22, number 1, 37:52","Aline Duarte, Guilherme Ost",A model for neural activity in the absence of external stimuli
1608.04435,math,Mathematics,math.QA,CC-BY-SA,http://creativecommons.org/licenses/by-sa/4.0/,30,2016,,True,10.3842/SIGMA.2017.042,"SIGMA 13 (2017), 042, 9 pages",Sonia Natale,On the Equivalence of Module Categories over a Group-Theoretical Fusion Category
1105.0629,math,Mathematics,math.AP,CC-BY,http://creativecommons.org/licenses/by/3.0/,30,2011,,True,10.1088/0253-6102/56/2/03,"Communications in Theoretical Physics, vol 56, 2011, pages 211-217","Mehdi Nadjafikhah, Fatemeh Ahangari",Classical and Nonclassical symmetries of the (2+1)-dimensional Kuramoto-Sivashinsky equation
1706.05050,math,Mathematics,math.GT,CC-BY-SA,http://creativecommons.org/licenses/by-sa/4.0/,28,2017,,True,10.3842/SIGMA.2017.050,"SIGMA 13 (2017), 050, 17 pages","Bohdana I. Hladysh, Aleksandr O. Prishlyak",Topology of Functions with Isolated Critical Points on the Boundary of a 2-Dimensional Manifold
1503.05974,math,Mathematics,math.PR,CC0,http://creativecommons.org/publicdomain/zero/1.0/,27,2015,Journal of statistical physics,True,10.1007/s10955-015-1366-y,"J Stat Phys, 2015, Volume 161, Issue 5, pp 1163:1202","Aline Duarte, Guilherme Ost, Andrés Rodríguez",Hydrodynamic Limits for Spatially Structured Interacting Neurons
1902.06393,math,Mathematics,physics.soc-ph,CC-BY,http://creativecommons.org/licenses/by/4.0/,27,2019,Communications in nonlinear science & numerical simulation,True,10.1016/j.cnsns.2019.02.004,Communications in Nonlinear Science and Numerical Simulation 73: 52-73 (2019),"Xiao-Long Peng, Ze-Qiong Zhang, Junyuan Yang, Zhen Jin",An SIS epidemic model with vaccination in a dynamical contact network of mobile individuals with heterogeneous spatial constraints
1810.01747,math,Mathematics,q-bio.NC,CC-BY,http://creativecommons.org/licenses/by/4.0/,26,2018,bioRxiv,True,10.1162/netn_a_00080,,"Jean-Baptiste Bardin, Gard Spreemann, Kathryn Hess",Topological exploration of artificial neuronal network dynamics
1812.04045,physics,Physics,astro-ph.EP,CC-BY,http://creativecommons.org/licenses/by/4.0/,277,2018,Astrophysical Journal,True,10.3847/2041-8213/aaf744,,"Shangjia Zhang, Zhaohuan Zhu, Jane Huang, Viviana V. Guzmán, Sean M. Andrews, Tilman Birnstiel, Cornelis P. Dullemond, John M. Carpenter, Andrea Isella, Laura M. Pérez, Myriam Benisty, David J. Wilner, Clément Baruteau, Xue-Ning Bai, Luca Ricci",The Disk Substructures at High Angular Resolution Project (DSHARP): VII. The Planet-Disk Interactions Interpretation
1809.06229,physics,Physics,hep-ex,CC-BY,http://creativecommons.org/licenses/by/4.0/,225,2018,Journal of Physics G: Nuclear and Particle Physics,True,10.1088/1361-6471/aaf5de,"Journal of Physics G: Nuclear and Particle Physics, Volume 46, Number 2 (2018)","Simone Bifani, Sebastien Descotes-Genon, Antonio Romero Vidal, Marie-Helene Schune",Review of Lepton Universality tests in B decays
1611.07079,physics,Physics,cond-mat.mes-hall,CC-BY,http://creativecommons.org/licenses/by/4.0/,161,2016,Scientific Reports,True,10.1038/s41598-017-03391-8,"Scientific Reports 7, Article number: 4060 (2017)","David Cortés-Ortuño, Weiwei Wang, Marijan Beg, Ryan A. Pepper, Marc-Antonio Bisotti, Rebecca Carey, Mark Vousden, Thomas Kluyver, Ondrej Hovorka, Hans Fangohr",Thermal stability and topological protection of skyrmions in nanotracks
1703.03328,physics,Physics,hep-ex,CC-BY,http://creativecommons.org/licenses/by/4.0/,154,2017,Physical Review Letters,True,10.1103/PhysRevLett.118.231801,"Phys. Rev. Lett. 118, 231801 (2017)","The NOvA Collaboration, P. Adamson, L. Aliaga, D. Ambrose, N. Anfimov, A. Antoshkin, E. Arrieta-Diaz, K. Augsten, A. Aurisano, C. Backhouse, M. Baird, B. A. Bambah, K. Bays, B. Behera, S. Bending, R. Bernstein, V. Bhatnagar, B. Bhuyan, J. Bian, T. Blackburn, A. Bolshakova, C. Bromberg, J. Brown, G. Brunetti, N. Buchanan, A. Butkevich, V. Bychkov, M. Campbell, E. Catano-Mur, S. Childress, B. C. Choudhary, B. Chowdhury, T. E. Coan, J. A. B. Coelho, M. Colo, J. Cooper, L. Corwin, L. Cremonesi, D. Cronin-Hennessy, G. S. Davies, J. P. Davies, P. F. Derwent, R. Dharmapalan, P. Ding, Z. Djurcic, E. C. Dukes, H. Duyang, S. Edayath, R. Ehrlich, G. J. Feldman, M. J. Frank, M. Gabrielyan, H. R. Gallagher, S. Germani, T. Ghosh, A. Giri, R. A. Gomes, M. C. Goodman, V. Grichine, R. Group, D. Grover, B. Guo, A. Habig, J. Hartnell, R. Hatcher, A. Hatzikoutelis, K. Heller, A. Himmel, A. Holin, J. Hylen, F. Jediny, M. Judah, G. K. Kafka, D. Kalra, S. M. S. Kasahara, S. Kasetti, R. Keloth, L. Kolupaeva, S. Kotelnikov, I. Kourbanis, A. Kreymer, A. Kumar, S. Kurbanov, K. Lang, W. M. Lee, S. Lin, J. Liu, M. Lokajicek, J. Lozier, S. Luchuk, K. Maan, S. Magill, W. A. Mann, M. L. Marshak, K. Matera, V. Matveev, D. P. Méndez, M. D. Messier, H. Meyer, T. Miao, W. H. Miller, S. R. Mishra, R. Mohanta, A. Moren, L. Mualem, M. Muether, S. Mufson, R. Murphy, J. Musser, J. K. Nelson, R. Nichol, E. Niner, A. Norman, T. Nosek, Y. Oksuzian, A. Olshevskiy, T. Olson, J. Paley, P. Pandey, R. B. Patterson, G. Pawloski, D. Pershey, O. Petrova, R. Petti, S. Phan-Budd, R. K. Plunkett, R. Poling, B. Potukuchi, C. Principato, F. Psihas, A. Radovic, R. A. Rameika, B. Rebel, B. Reed, D. Rocco, P. Rojas, V. Ryabov, K. Sachdev, P. Sail, O. Samoylov, M. C. Sanchez, R. Schroeter, J. Sepulveda-Quiroz, P. Shanahan, A. Sheshukov, J. Singh, J. Singh, P. Singh, V. Singh, J. Smolik, N. Solomey, E. Song, A. Sousa, K. Soustruznik, M. Strait, L. Suter, R. L. Talaga, M. C. Tamsett, P. Tas, R. B. Thayyullathil, J. Thomas, X. Tian, S. C. Tognini, J. Tripathi, A. Tsaris, J. Urheim, P. Vahle, J. Vasel, L. Vinton, A. Vold, T. Vrba, B. Wang, M. Wetstein, D. Whittington, S. G. Wojcicki, J. Wolcott, N. Yadav, S. Yang, J. Zalesak, B. Zamorano, R. Zwaska",Constraints on Oscillation Parameters from $ν_e$ Appearance and $ν_μ$ Disappearance in NOvA
1604.01212,physics,Physics,quant-ph,CC-BY,http://creativecommons.org/licenses/by/4.0/,88,2016,,True,10.1088/1367-2630/18/7/075014,New Journal of Physics 18:7 075014 (2016),"Patrick Navez, Saurabh Pandey, Hector Mas, Konstantinos Poulios, Thomas Fernholz, Wolf von Klitzing",Matter-wave interferometers using TAAP rings
1701.07389,physics,Physics,cond-mat.mes-hall,CC0,http://creativecommons.org/publicdomain/zero/1.0/,68,2017,,True,10.1103/PhysRevB.95.195430,"Phys. Rev. B 95, 195430 (2017)","F. Domínguez, O. Kashuba, E. Bocquillon, J. Wiedenmann, R. S. Deacon, T. M. Klapwijk, G. Platero, L. W. Molenkamp, B. Trauzettel, E. M. Hankiewicz",Josephson junction dynamics in the presence of $2π$- and $4π$-periodic supercurrents
1506.06604,physics,Physics,nucl-ex,CC-BY,http://creativecommons.org/licenses/by/4.0/,40,2015,,True,10.1007/JHEP11(2015)205,JHEP 11 (2015) 205,ALICE Collaboration,Centrality dependence of high-$p_{\rm T}$ D meson suppression in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV
1702.00917,physics,Physics,hep-ex,CC-BY,http://creativecommons.org/licenses/by/4.0/,34,2017,European Physical Journal C: Particles and Fields,True,10.1140/epjc/s10052-017-4890-x,Eur. Phys. J. C 77 (2017) 339,ALICE Collaboration,Production of $π^0$ and $η$ mesons up to high transverse momentum in pp collisions at 2.76 TeV
1610.05885,physics,Physics,hep-th,CC-BY,http://creativecommons.org/licenses/by/4.0/,33,2016,,True,10.1103/PhysRevD.95.103524,"Phys. Rev. D 95, 103524 (2017)","Yuta Hamada, Hikaru Kawai, Yukari Nakanishi, Kin-ya Oda",Meaning of the field dependence of the renormalization scale in Higgs inflation
1611.00590,physics,Physics,hep-th,CC-BY,http://creativecommons.org/licenses/by/4.0/,30,2016,,True,,"Phys. Rev. D 95, 084004 (2017)","Z. Dayyani, A. Sheykhi, M. H. Dehghani",Counterterm method in dilaton gravity and the critical behavior of dilaton black holes with power-Maxwell field
1702.08226,physics,Physics,hep-th,CC-BY,http://creativecommons.org/licenses/by/4.0/,16,2017,,True,10.1103/PhysRevD.95.095036,"Phys. Rev. D 95, 095036 (2017)","Makoto Ishida, Kenji Nishiwaki, Yoshiyuki Tatsuta",Brane-localized masses in magnetic compactifications
1705.02349,physics,Physics,nlin.CD,CC-BY,http://creativecommons.org/licenses/by/4.0/,15,2017,,True,10.1103/PhysRevX.7.021040,"Phys. Rev. X 7, 021040 (2017)","Xiaowen Chen, Takashi Nishikawa, Adilson E. Motter",Slim Fractals: The Geometry of Doubly Transient Chaos
1905.07593,q-bio,Quantitative Biology,physics.soc-ph,CC-BY,http://creativecommons.org/licenses/by/4.0/,203,2019,Physics reports,True,10.1016/j.physrep.2019.04.001,Physics Reports (2019),"Manuel Sebastian Mariani, Zhuo-Ming Ren, Jordi Bascompte, Claudio Juan Tessone","Nestedness in complex networks: Observation, emergence, and implications"
1803.00135,q-bio,Quantitative Biology,quant-ph,CC-BY,http://creativecommons.org/licenses/by/4.0/,191,2018,npj Quantum Information,True,10.1038/s41534-018-0060-8,"npj Quantum Information, volume 4, Article number: 14 (2018)","Richard Y. Li, Rosa Di Felice, Remo Rohs, Daniel A. Lidar",Quantum annealing versus classical machine learning applied to a simplified computational biology problem
1802.00864,q-bio,Quantitative Biology,q-bio.QM,CC-BY,http://creativecommons.org/licenses/by/4.0/,126,2018,Bioinform.,True,10.1093/bioinformatics/bty259,,"Fatima Zohra Smaili, Xin Gao, Robert Hoehndorf",Onto2Vec: joint vector-based representation of biological entities and their ontology-based annotations
1809.01878,q-bio,Quantitative Biology,q-bio.SC,CC-BY-SA,http://creativecommons.org/licenses/by-sa/4.0/,111,2018,Frontiers in Genetics,True,10.3389/fgene.2018.00718,,"Juvid Aryaman, Iain G. Johnston, Nick S. Jones",Mitochondrial heterogeneity
1704.07635,q-bio,Quantitative Biology,q-bio.NC,CC-BY,http://creativecommons.org/licenses/by/4.0/,52,2017,Network Neuroscience,True,10.1162/NETN_a_00013,Network Neuroscience 1(3) (2017) 254-274,"Onerva Korhonen, Heini Saarimäki, Enrico Glerean, Mikko Sams, Jari Saramäki",Consistency of Regions of Interest as nodes of functional brain networks measured by fMRI
1901.00802,q-bio,Quantitative Biology,q-bio.SC,CC-BY,http://creativecommons.org/licenses/by/4.0/,47,2019,Physical Review Letters,True,10.1103/PhysRevLett.122.128101,"Phys. Rev. Lett. 122, 128101 (2019)",Richard P. Sear,"Diffusiophoresis in Cells: a General Non-Equilibrium, Non-Motor Mechanism for the Metabolism-Dependent Transport of Particles in Cells"
1707.08236,q-bio,Quantitative Biology,q-bio.QM,CC-BY,http://creativecommons.org/licenses/by/4.0/,45,2016,Bulletin of Mathematical Biology,True,10.1007/s11538-016-0149-1,Bulletin of Mathematical Biology. 78 (2016) 617-661,"Youfang Cao, Anna Terebus, Jie Liang",State space truncation with quantified errors for accurate solutions to discrete Chemical Master Equation
1901.06790,q-bio,Quantitative Biology,q-bio.PE,CC-BY,http://creativecommons.org/licenses/by/4.0/,44,2019,Physical Review Letters,True,10.1103/PhysRevLett.122.148102,"Phys. Rev. Lett. 122, 148102 (2019)","Yu-Hui Lin, Joshua S. Weitz",Spatial interactions and oscillatory tragedies of the commons
1803.10122,stat,Statistics,cs.LG,CC-BY,http://creativecommons.org/licenses/by/4.0/,1743,2018,arXiv.org,True,10.5281/zenodo.1207631,,"David Ha, Jürgen Schmidhuber",World Models
1711.11294,stat,Statistics,cs.LG,CC-BY,http://creativecommons.org/licenses/by/4.0/,680,2017,Neural Information Processing Systems,True,,NIPS 2017,"Xiaofan Lin, Cong Zhao, Wei Pan",Towards Accurate Binary Convolutional Neural Network
1803.00885,stat,Statistics,stat.ML,CC-BY,http://creativecommons.org/licenses/by/4.0/,542,2018,International Conference on Machine Learning,True,,"Proceedings of the 35th International Conference on Machine Learning, PMLR 80:1308-1317, 2018","Felix Draxler, Kambis Veschgini, Manfred Salmhofer, Fred A. Hamprecht",Essentially No Barriers in Neural Network Energy Landscape
1701.07681,stat,Statistics,cs.DS,CC-BY,http://creativecommons.org/licenses/by/4.0/,276,2017,International Conference on Information and Knowledge Management,True,10.1145/3132847.3132980,"Proceedings of the 2017 ACM on Conference on Information and Knowledge Management (CIKM '17). ACM, 637-646","Patrick Schäfer, Ulf Leser",Fast and Accurate Time Series Classification with WEASEL
1808.04308,stat,Statistics,cs.LG,CC-BY,http://creativecommons.org/licenses/by/4.0/,253,2018,Scientific Reports,True,10.1038/s41598-019-38748-8,,"Fabian Horst, Sebastian Lapuschkin, Wojciech Samek, Klaus-Robert Müller, Wolfgang I. Schöllhorn",Explaining the Unique Nature of Individual Gait Patterns with Deep Learning
1808.03273,stat,Statistics,q-bio.QM,CC-BY,http://creativecommons.org/licenses/by/4.0/,110,2018,PLoS ONE,True,10.1371/journal.pone.0211558,,"Paul Moore, Terry Lyons, John Gallacher",Random forest prediction of Alzheimer's disease using pairwise selection from time series data
1903.11719,stat,Statistics,cs.LG,CC-BY,http://creativecommons.org/licenses/by/4.0/,102,2019,The Web Conference,True,10.1145/3308558.3313559,,"Aria Khademi, Sanghack Lee, David Foley, Vasant Honavar",Fairness in Algorithmic Decision Making: An Excursion Through the Lens of Causality
1806.07161,stat,Statistics,stat.ME,CC-BY,http://creativecommons.org/licenses/by/4.0/,70,2017,,True,10.18637/jss.v076.i12,"Journal of Statistical Software, 76(12):1-30, 2017","Santtu Tikka, Juha Karvanen",Identifying Causal Effects with the R Package causaleffect
1602.04139,stat,Statistics,stat.ME,CC-BY,http://creativecommons.org/licenses/by/4.0/,65,2016,,True,10.1016/j.wace.2016.02.001,Weather and Climate Extremes (2016) 12:24-32,"Soyoung Jeon, Christopher J. Paciorek, Michael F. Wehner",Quantile-based bias correction and uncertainty quantification of extreme event attribution statements
1803.04223,stat,Statistics,cs.LG,CC-BY,http://creativecommons.org/licenses/by/4.0/,64,2018,The Web Conference,True,10.1145/3178876.3186033,,"Jie Yang, Thomas Drake, Andreas Damianou, Yoelle Maarek",Leveraging Crowdsourcing Data For Deep Active Learning - An Application: Learning Intents in Alexa
1803.04397,stat,Statistics,stat.ME,CC-BY,http://creativecommons.org/licenses/by/4.0/,36,2018,"Journal of the Royal Statistical Society, Series C: Applied Statistics",True,10.1111/rssc.12293,"Journal of the Royal Statistical Society: Series C (Applied Statistics), 68 (2), pp 1-21, 2018","Pavel Mozgunov, Thomas Jaki",An information-theoretic Phase I/II design for molecularly targeted agents that does not require an assumption of monotonicity
1711.07629,stat,Statistics,stat.AP,CC-BY,http://creativecommons.org/licenses/by/4.0/,36,2017,Remote Sensing,True,10.3390/rs10010155,"Zammit-Mangion, A.; Cressie, N.; Shumack, C. On Statistical Approaches to Generate Level 3 Products from Satellite Remote Sensing Retrievals. Remote Sens. 2018, 10, 155","Andrew Zammit-Mangion, Noel Cressie, Clint Shumack",On statistical approaches to generate Level 3 products from satellite remote sensing retrievals
