trap,rcs_good,rcs_bad,fid_good,fid_bad,focus,source,good_tr,bad_tr
81,1.0,0.6666666666666666,preserved,weakened,"Different from the IU X-Ray dataset, each caption in PEIR Gross contains only one sentence.","The Pathology Education Informational Resource (PEIR) digital libraryPEIR is ©University of Alabama at Birmingham, Department of Pathology. (http://peir.path.uab.edu/library/) is a public medical image library for medical education. We collected the images together with their descriptions in the Gross sub-collection, resulting in the PEIR Gross dataset that contains 7,442 image-caption pairs from 21 different sub-categories. Different from the IU X-Ray dataset, each caption in PEIR Gross contains only one sentence. We used this dataset to evaluate our model’s ability of generating single-sentence report.","病理学教育资源（PEIR）数字图书馆由阿拉巴马大学伯明翰分校病理学系版权所有（http://peir.path.uab.edu/library/），是一个用于医学教育的公共医学图像库。我们收集了“大体”子集合中的图像及其描述，构建了包含来自21个不同子类别的7,442个图像-标题对的PEIR Gross数据集。与IU X-Ray数据集不同，PEIR Gross中的每个标题仅包含一个句子。我们使用该数据集来评估我们的模型生成单句报告的能力。","病理学教育资源（PEIR）数字图书馆由阿拉巴马大学伯明翰分校病理学系版权所有（http://peir.path.uab.edu/library/），是一个用于医学教育的公共医学图像库。我们收集了“大体”子集合中的图像及其描述，构建了包含来自21个不同子类别的7,442个图像-标题对的PEIR Gross数据集。与PEIR Gross数据集不同，IU X-Ray数据集中的每个标题仅包含一个句子。我们使用该数据集来评估我们的模型生成单句报告的能力。"
82,0.6666666666666666,0.5,preserved,reversed,it has a strongly negative effect on the persistence of trophic networks,"Thébault and Fontaine consider a variant of the dynamics described by Eq. () that can describe both mutualistic and trophic interaction. The core difference between mutualistic and trophic interactions is the sign of the term that represents animal-plant interactions. They found that network structure has an opposite effect on the stability of mutualistic networks as compared to the stability of trophic networks. In particular, nestedness has a positive effect on the resilience of mutualistic networks, defined as the speed at which the community returns to equilibrium after a perturbation in the system. By contrast, it has a strongly negative effect on the persistence of trophic networks, defined as the proportion of existing species after equilibrium is reached.",Thébault 和 Fontaine 考虑了由方程 () 描述的动力学的一个变体，该变体能够同时描述互利共生和营养相互作用。互利共生相互作用与营养相互作用之间的核心区别在于代表动物-植物相互作用的项的符号。他们发现，网络结构对互利共生网络稳定性的影响与对营养网络稳定性的影响相反。具体而言，嵌套性对互利共生网络的恢复力具有积极影响，这里的恢复力定义为系统在受到扰动后群落返回平衡状态的速度。相比之下，嵌套性对营养网络的持久性具有强烈的负面影响，这里的持久性定义为达到平衡后现存物种的比例。,Thébault 和 Fontaine 考虑了由方程 () 描述的动力学的一个变体，该变体能够同时描述互利共生和营养相互作用。互利共生相互作用与营养相互作用之间的核心区别在于代表动物-植物相互作用的项的符号。他们发现，网络结构对互利共生网络稳定性的影响与对营养网络稳定性的影响相反。具体而言，嵌套性对互利共生网络的恢复力具有正向影响，其中恢复力定义为系统在受到扰动后群落返回平衡状态的速度。相比之下，嵌套性对营养网络的持久性具有强烈的正向影响，其中持久性定义为达到平衡后现存物种的比例。
83,0.8333333333333334,0.5,preserved,reversed,more nested networks are associated with larger feasibility domains,"Feasibility in systems with competition and mutualism [Section ]. In systems with both competition and mutualism, nestedness enhances the increase of biodiversity due to mutualism , and more nested networks are associated with larger feasibility domains, i.e., the network’s nodes can co-exist for a larger range of environmental conditions .",在具有竞争和互利关系的系统中的可行性[章节]。在同时存在竞争和互利关系的系统中，嵌套性增强了由互利关系引起的生物多样性增加，并且嵌套性更高的网络与更大的可行性域相关联，即网络的节点可以在更广泛的环境条件下共存。,在具有竞争和互利关系的系统中的可行性[章节]。在同时存在竞争和互利关系的系统中，嵌套性增强了由互利关系引起的生物多样性增加，并且嵌套性更高的网络与更小的可行性域相关联，即网络的节点可以在更广泛的环境条件下共存。
84,0.5,0.5,preserved,reversed,better than individual nestedness contributions,"Saavedra et al. found that both in ecological mutualistic networks and in economic manufacturer-contractor networks, individual contributions to nestedness are heterogeneously distributed, and some nodes give a significantly larger contribution than the others. Through simulations on mutualistic networks based on a model of mutualistic interactionsWe refer to for details. The model is essentially the same that has been applied in other works to uncover the impact of nestedness on systemic feasibility and dynamical stability – see Section ., they found that the strongest contributors to nestedness are also those whose extinction has the largest impact on network persistenceA recent study indicates that non-linear iterative algorithms perform better than individual nestedness contributions in identifying the most important and vulnerable network nodes under targeted attack. See Section for a detailed presentation.. The results of numerical simulations indicate that, ironically, the strongest contributors are also the most vulnerable nodes to extinction .",Saavedra等人发现，在生态互利网络和经济的制造商-承包商网络中，个体对嵌套性的贡献呈异质性分布，且某些节点的贡献显著大于其他节点。通过对基于互利相互作用模型的互利网络进行模拟（详见参考文献；该模型与用于揭示嵌套性对系统可行性和动态稳定性影响的其他研究中所应用的模型基本相同——见第节），他们发现，对嵌套性贡献最大的节点，其灭绝也对网络持久性产生最大影响（最近的一项研究表明，在识别受针对性攻击下最重要和最脆弱的网络节点方面，非线性迭代算法的表现优于个体嵌套性贡献指标。详见第节的详细阐述）。数值模拟结果表明，具有讽刺意味的是，贡献最大的节点也是对灭绝最脆弱的节点。,Saavedra等人发现，在生态互利网络和经济的制造商-承包商网络中，个体对嵌套性的贡献呈异质性分布，且某些节点的贡献显著大于其他节点。通过对基于互利相互作用模型的互利网络进行模拟（详见参考文献；该模型与以往用于揭示嵌套性对系统可行性和动态稳定性影响的研究中所应用的模型基本相同——见第节），他们发现，对嵌套性贡献最大的节点，其灭绝也对网络持久性产生最大影响（最近的一项研究表明，在识别受针对性攻击下最重要和最脆弱的网络节点方面，个体嵌套性贡献的表现优于非线性迭代算法。详见第节的详细阐述）。数值模拟结果表明，具有讽刺意味的是，贡献最大的节点也是对灭绝最脆弱的节点。
99,1.0,0.8333333333333334,preserved,reversed,less floating point operations than ResNet-152,"The fifth improvement made is the new CNN feature extractor named Darknet-53. It is a 53 layered CNN that uses skip connections network inspired from ResNet . It uses also and convolutional layers. It has shown the state of the art accuracy but with fewer floating point operations and better speed. For example, it has less floating point operations than ResNet-152 but the same performance at a double speed.",第五项改进是名为 Darknet-53 的新 CNN 特征提取器。它是一个 53 层的 CNN，采用受 ResNet 启发的跳跃连接网络。它还使用了卷积层。它展现了最先进的准确率，同时浮点运算次数更少、速度更快。例如，与 ResNet-152 相比，它的浮点运算次数更少，但在性能相同的情况下速度提高了一倍。,第五项改进是名为 Darknet-53 的新 CNN 特征提取器。它是一个 53 层的 CNN，采用受 ResNet 启发的跳跃连接网络。它还使用卷积层。它展现了最先进的准确率，同时浮点运算次数更少且速度更快。例如，它的浮点运算次数比 ResNet-152 更多，但以两倍的速度实现了相同的性能。
85,0.8333333333333334,0.6666666666666666,preserved,reversed,its yield is about five times smaller than that of,"The situation for electron and muon reconstruction is instead significantly different. At the -factories, the invariant mass peak reconstructed using different lepton flavours is similar, as shown in Fig. . In particular, the event yields are similar indicating that the efficiency to reconstruct the two final states is comparable. Due to the combined effect of reduced bremsstrahlung and of a performant recovery algorithm, the dilepton invariant mass distribution for the final state only exhibits a slightly wider peak and a small radiative tail compared to the final state. On the contrary, the invariant mass reconstructed by LHCb when the is identified via its decay to two muons or two electrons manifests striking differences, as displayed in Fig. . Despite the bremsstrahlung recovery procedure, the electron final state features a long radiative tail and its yield is about five times smaller than that of . The decay mode can also provide interesting information to compare the -factories and the LHCb experiment. The yield reported in Ref. can be scaled to the full integrated luminosity of the -factories, amounting to about events that are roughly evenly split between the electron and muon final states. While this number is similar to the yield () reported in Ref. by LHCb, the yield is more than seven times larger. These significant differences between final states with electron and muon led the LHCb collaboration to exploit double ratios to measure the and observables (see Sec. ).",电子和缪子重建的情况则显著不同。在B工厂中，使用不同轻子味重建的不变质量峰是相似的，如图..所示。特别是，事例产额相似，表明重建这两种末态的效率相当。由于轫致辐射减少和高效恢复算法的共同作用，与μμ末态相比，ee末态的双轻子不变质量分布仅表现出略宽的峰和较小的辐射尾巴。相反，当J/ψ通过衰变为两个缪子或两个电子被识别时，LHCb重建的不变质量表现出显著差异，如图..所示。尽管采用了轫致辐射恢复程序，电子末态仍具有较长的辐射尾巴，其产额比μμ末态小约五倍。J/ψ→e⁺e⁻衰变模式也为比较B工厂和LHCb实验提供了有趣的信息。参考文献[..]中报道的产额可以按比例放大到B工厂的全部积分亮度，总计约[..]个事例，这些事例在电子和缪子末态之间大致均匀分配。虽然这一数字与LHCb在参考文献[..]中报道的J/ψ→μ⁺μ⁻产额（[..]）相似，但J/ψ→e⁺e⁻的产额却大了七倍以上。电子和缪子末态之间的这些显著差异促使LHCb合作组利用双重比值来测量R_K和R_K*可观测量（见第..节）。,电子和缪子重建的情况则显著不同。在B工厂中，使用不同轻子味重建的不变质量峰是相似的，如图..所示。特别是，事例产额相似，表明重建这两种末态的效率相当。由于轫致辐射减少和高效恢复算法的共同作用，与μμ末态相比，ee末态的双轻子不变质量分布仅表现出略宽的峰和较小的辐射尾巴。相反，当通过衰变为两个缪子或两个电子来识别时，LHCb重建的不变质量表现出显著差异，如图..所示。尽管采用了轫致辐射恢复程序，电子末态仍具有较长的辐射尾巴，其产额约为μμ末态的五倍。该衰变模式还可以提供有趣的信息，用于比较B工厂和LHCb实验。参考文献[..]中报道的产额可以按比例放大到B工厂的全部积分亮度，总计约[..]个事例，这些事例在电子和缪子末态之间大致均匀分配。虽然这一数字与LHCb在参考文献[..]中报道的μμ产额（[..]）相似，但ee产额要大七倍以上。电子和缪子末态之间的这些显著差异促使LHCb合作组利用双重比值来测量[..]和[..]可观测量（见第[..]节）。
86,0.6666666666666666,0.16666666666666666,preserved,reversed,more than one order of magnitude less precise than the SM prediction,which is more than one order of magnitude less precise than the SM prediction :,其精度比标准模型预测低一个数量级以上：,这比标准模型的预测精确一个数量级以上：
87,1.0,1.0,preserved,reversed,larger interaction strength,"The overall contribution of nestedness, mutualistic interaction strength, and mutualistic trade-off to the fraction of surviving species. The larger such contribution (determined by Eq. ()), the larger the region of the intrinsic growth rate space which is compatible with the stable co-existence of species. The results on this empirical network (mutualistic interactions located in the grassland asclepiads in South Africa – results for different datasets are qualitatively similar) show that more stable structures tend to be associated with larger nestedness, larger interaction strength, and smaller mutualistic trade-off. The panels below show two-dimensional slices of the three-dimensional feature space above. Reprinted from .",嵌套性、互惠相互作用强度以及互惠权衡对存活物种比例的总体贡献。这种贡献越大（由公式()确定），与物种稳定共存相容的内禀增长率空间区域就越大。对该实证网络（位于南非草原马利筋属植物中的互惠相互作用——不同数据集的结果在定性上相似）的研究结果表明，更稳定的结构往往与更大的嵌套性、更大的相互作用强度以及更小的互惠权衡相关联。下方的面板展示了上述三维特征空间的二维切片。转载自。,嵌套性、互惠相互作用强度以及互惠权衡对存活物种比例的总体贡献。这种贡献越大（由公式()确定），与物种稳定共存相容的内禀增长率空间区域就越大。对该实证网络（位于南非草原马利筋属植物中的互惠相互作用——不同数据集的结果在定性上相似）的研究结果表明，更稳定的结构往往与更大的嵌套性、更小的相互作用强度以及更小的互惠权衡相关联。下方的面板展示了上述三维特征空间的二维切片。转载自。
88,0.8333333333333334,0.6666666666666666,preserved,reversed,the SPS predictions significantly outperform the IMF predictions,"A recent work by the World Bank systematically compared the predictions of the SPS based on country fitness with those by the International Monetary Fund (IMF). They found that, when one only considers countries that are in the predictable region of the fitness-GDPpc plane, the SPS predictions significantly outperform the IMF predictions. The performance of the SPS and IMF are comparable when one considers all the countries. With respect to the IMF growth model which builds upon many variables, the SPS method is very parsimonious, as it only involves one parameter: country fitness. In a subsequent work, Tacchella et al. found that proper data sanitation can substantially increase the volume of the predictable region; on the cleaned data, the predictions by the SPS method over a five-year time horizon outperform those by the IMF even when one considers both high- and low-fitness countries. Besides, the predictions by the SPS can be combined with those by the IMF to substantially improve the GDPpc forecasts. Myanmar, Cambodia, and India turned out to be the three countries whose GDPpc’s forecast benefited most from the combination of SPS and IMF results .",世界银行最近的一项工作系统地比较了基于国家适应度的SPS预测与国际货币基金组织（IMF）的预测。他们发现，当仅考虑位于适应度-人均GDP平面可预测区域的国家时，SPS预测显著优于IMF预测。当考虑所有国家时，SPS和IMF的表现相当。与建立在许多变量基础上的IMF增长模型相比，SPS方法非常简约，因为它只涉及一个参数：国家适应度。在随后的一项工作中，Tacchella等人发现，适当的数据清洗可以大幅增加可预测区域的体积；在清洗后的数据上，即使同时考虑高适应度和低适应度国家，SPS方法在五年时间范围内的预测也优于IMF的预测。此外，将SPS的预测与IMF的预测相结合，可以大幅改善人均GDP的预测。缅甸、柬埔寨和印度被证明是三个从SPS和IMF结果结合中受益最大的人均GDP预测国家。,世界银行最近的一项工作系统地比较了基于国家适应度的SPS预测与国际货币基金组织（IMF）的预测。他们发现，当仅考虑位于适应度-人均GDP平面可预测区域的国家时，IMF的预测显著优于SPS的预测。当考虑所有国家时，SPS和IMF的表现相当。与建立在许多变量基础上的IMF增长模型相比，SPS方法非常简约，因为它只涉及一个参数：国家适应度。在随后的一项工作中，Tacchella等人发现，适当的数据清洗可以大幅增加可预测区域的范围；在清洗后的数据上，即使同时考虑高适应度和低适应度的国家，SPS方法在五年时间范围内的预测也优于IMF的预测。此外，将SPS的预测与IMF的预测相结合，可以大幅改善人均GDP的预测结果。缅甸、柬埔寨和印度被证明是三个从SPS和IMF结果结合中受益最大的人均GDP预测国家。
89,0.8333333333333334,1.0,preserved,reversed,negative,"Fortuna et al. analyzed 95 ecological communities including plant–animal mutualistic networks and host–parasite networks. First, they found a significant correlation between nestedness and modularity for plant–pollinator networks () but not for plant–seed disperser () and host-parasite () networks. Importantly, by using two statistical null models, they found that the relation between nestedness and modularity strongly depends on network connectivity: at low (high) connectivity, the two properties tend to be positively (negatively) correlated – in other words, the correlation between the nestedness-modularity correlation and network connectance is negative (Fig. ).",Fortuna等人分析了95个生态群落，包括植物-动物互惠网络和宿主-寄生虫网络。首先，他们发现植物-传粉者网络的嵌套性与模块化之间存在显著相关性（），但植物-种子传播者网络（）和宿主-寄生虫网络（）中则不存在这种相关性。重要的是，通过使用两种统计零模型，他们发现嵌套性与模块化之间的关系强烈依赖于网络连接度：在低（高）连接度下，这两个属性倾向于呈正（负）相关——换句话说，嵌套性-模块化相关性与网络连接度之间的相关性为负（图）。,Fortuna等人分析了95个生态群落，包括植物–动物互惠网络和宿主–寄生虫网络。首先，他们发现植物–传粉者网络的嵌套性与模块性之间存在显著相关性（），但植物–种子传播者网络（）和宿主–寄生虫网络（）中则不存在这种相关性。重要的是，通过使用两种统计零模型，他们发现嵌套性与模块性之间的关系强烈依赖于网络的连通性：在低（高）连通性下，这两个属性倾向于呈正（负）相关——换句话说，嵌套性–模块性相关性与网络连通度之间的相关性为正（图）。
100,1.0,1.0,preserved,reversed,larger than or equal to,"A feasible equilibrium point is not necessarily globally stable, and a globally stable equilibrium point is not necessarily feasible. The existence of a unique globally stable equilibrium point is only guaranteed when the interaction matrix is positive-defined, i.e., when all its eigenvalues have a positive real part (see Section and ). Numerically, one finds that in the linearized version of the model with competition and mutualism (i.e., the model defined by Eq. () with handling times equal to zero), the real part of the largest eigenvalue of tends to decrease with the mean mutualistic interaction strength . Hence, the convergence to a unique globally stable equilibrium is guaranteed up to a critical value of the interaction strength; such point is numerically determined as the smallest value such that one of the eigenvalues of reaches zero . The larger , the stronger mutualistic interactions can be tolerated by the system without losing global stability, i.e., the more globally stable the system . Therefore, one can study the impact of a structural property on the global stability of the system by studying its relation with : a positive correlation would imply that that structural property favors the global stability of the systemIn this discussion, we have referred to the linearized version of the model (). The critical value for the non-linear dynamics is larger than or equal to the critical value for the linearized dynamics, which implies that the critical value determined with the linearized dynamics serves as an upper bound to the range of mutualism that allows for global stability. We refer to for all the details..",可行的平衡点未必是全局稳定的，而全局稳定的平衡点也未必是可行的。仅当相互作用矩阵为正定矩阵，即其所有特征值均具有正实部时，才能保证存在唯一的全局稳定平衡点（参见第节和）。在数值上，人们发现，在包含竞争和互利共生关系的模型的线性化版本中（即由方程()定义且处理时间为零的模型），的最大特征值的实部往往随着平均互利共生相互作用强度的增加而减小。因此，在相互作用强度达到某个临界值之前，收敛到唯一的全局稳定平衡点是得到保证的；该临界点在数值上被确定为使的某个特征值变为零的最小值。越大，系统在不丧失全局稳定性的前提下所能容忍的互利共生相互作用就越强，即系统的全局稳定性越高。因此，可以通过研究某一结构属性与之间的关系来考察该结构属性对系统全局稳定性的影响：正相关意味着该结构属性有利于系统的全局稳定性。在本讨论中，我们指的是模型的线性化版本()。非线性动力学的临界值大于或等于线性化动力学的临界值，这意味着通过线性化动力学确定的临界值构成了允许全局稳定性的互利共生范围的上界。所有细节请参阅。,可行的平衡点不一定是全局稳定的，而全局稳定的平衡点也不一定是可行的。只有当相互作用矩阵是正定的，即其所有特征值都具有正实部时（见第节和第节），才能保证存在唯一的全局稳定平衡点。在数值上，人们发现，在包含竞争和互利共生关系的模型的线性化版本中（即由方程()定义且处理时间为零的模型），的最大特征值的实部往往随着平均互利共生相互作用强度的增加而减小。因此，在相互作用强度达到一个临界值之前，收敛到唯一的全局稳定平衡点是得到保证的；该临界点在数值上被确定为使得的一个特征值变为零的最小值。越大，系统在不丧失全局稳定性的前提下所能容忍的互利共生相互作用就越强，也就是说，系统的全局稳定性越高。因此，可以通过研究某个结构属性与之间的关系来探讨该属性对系统全局稳定性的影响：正相关意味着该结构属性有利于系统的全局稳定性。在本讨论中，我们指的是模型()的线性化版本。非线性动力学的临界值小于或等于线性化动力学的临界值，这意味着通过线性化动力学确定的临界值构成了允许全局稳定性的互利共生范围的上限。所有细节请参阅。
90,1.0,0.5,preserved,reversed,nestedness has a positive effect on the resilience of mutualistic networks,"Thébault and Fontaine consider a variant of the dynamics described by Eq. () that can describe both mutualistic and trophic interaction. The core difference between mutualistic and trophic interactions is the sign of the term that represents animal-plant interactions. They found that network structure has an opposite effect on the stability of mutualistic networks as compared to the stability of trophic networks. In particular, nestedness has a positive effect on the resilience of mutualistic networks, defined as the speed at which the community returns to equilibrium after a perturbation in the system. By contrast, it has a strongly negative effect on the persistence of trophic networks, defined as the proportion of existing species after equilibrium is reached.",Thébault 和 Fontaine 考虑了由方程 () 描述的动力学的一个变体，该变体能够同时描述互利共生和营养相互作用。互利共生相互作用与营养相互作用之间的核心区别在于代表动物-植物相互作用的项的符号。他们发现，网络结构对互利共生网络稳定性的影响与对营养网络稳定性的影响相反。具体而言，嵌套性对互利共生网络的恢复力具有正向影响，其中恢复力定义为系统在受到扰动后群落返回平衡状态的速度。相比之下，嵌套性对营养网络的持久性具有强烈的负向影响，其中持久性定义为达到平衡后现存物种的比例。,Thébault 和 Fontaine 考虑了由方程 () 描述的动力学的一个变体，该变体能够同时描述互利共生和营养相互作用。互利共生相互作用与营养相互作用之间的核心差异在于代表动物-植物相互作用的项的符号。他们发现，与营养网络的稳定性相比，网络结构对互利共生网络的稳定性具有相反的影响。具体而言，嵌套性对互利共生网络的恢复力（定义为系统在受到扰动后群落返回平衡状态的速度）具有负面影响。相比之下，嵌套性对营养网络的持久性（定义为达到平衡后现存物种的比例）具有强烈的负面影响。
91,0.5,0.5,preserved,preserved,equal,"This obviously implies that the prior expectation of depends only on the ratio . It is greater than zero if and only if and smaller than zero if and only if . For a fixed ratio , the prior variance decreases with larger values of and . The uniform distribution on arises as a special case when . For financial datasets with not too many observations (i.e., ), the choice of the hyperparameters and can be quite influential on the shape of the posterior distribution of . In fact, when the underlying data-generating process is (near-)homoskedastic, the volatility of log-variance is (very close to) zero and thus the likelihood contains little to no information about . Consequently, the posterior distribution of is (almost) equal to its prior, no matter how many data points are observed. For some discussion about this issue, see, e.g., who choose and , implying a prior mean of with a prior standard deviation of and thus very little mass for nonpositive values of .",这显然意味着，的先验期望仅取决于比率。当且仅当时，它大于零；当且仅当时，它小于零。对于固定的比率，先验方差随着和的增大而减小。当时，上的均匀分布作为一个特例出现。对于观测值不多的金融数据集（即），超参数和的选择会对的后验分布形状产生相当显著的影响。事实上，当潜在的数据生成过程是（近）同方差时，对数方差的波动率（非常接近）零，因此似然函数包含关于的极少甚至没有信息。因此，无论观察到多少个数据点，的后验分布都（几乎）等于其先验分布。关于此问题的一些讨论，参见例如，他们选择和，这意味着先验均值为，先验标准差为，从而使得取非正值的概率质量非常小。,这显然意味着，的先验期望仅取决于比率。当且仅当时，它大于零；当且仅当时，它小于零。对于固定的比率，先验方差随着和的增大而减小。当时，上的均匀分布作为一个特例出现。对于观测值不多的金融数据集（即），超参数和的选择会对的后验分布形状产生相当显著的影响。事实上，当潜在的数据生成过程是（近）同方差时，对数方差的波动率（非常接近）零，因此似然函数包含关于的极少甚至没有信息。因此，无论观察到多少个数据点，的后验分布都（几乎）等于其先验分布。关于此问题的一些讨论，参见例如，他们选择 and ，这意味着先验均值为，先验标准差为，从而使得取非正值的概率质量非常小。
92,0.8333333333333334,1.0,preserved,preserved,hadronic uncertainties cancel to a large extent,"Theoretical predictions in the SM for and are extremely accurate as hadronic uncertainties cancel to a large extent. needs only for the suppressed part of the branching fraction. involves several helicity amplitudes with a large number of form factors, however, some of them are suppressed due to the – structure of the SM and the smallness of the lepton masses, leading to a good theoretical control of these quantities. Moreover, electromagnetic corrections have been estimated to be small and under control . Some SM predictions are listed in Tab. . Finite-width effects and the underlying -wave component of the system were also discussed, with no indications of significant contributions .",标准模型（SM）中对和的理论预言极为精确，因为强子不确定性在很大程度上相互抵消。仅需用于分支比的压低部分。涉及多个具有大量形状因子的螺旋度振幅，然而，由于标准模型的–结构以及轻子质量的微小性，其中一些振幅被压低，从而使得对这些量的理论控制良好。此外，电磁修正已被估计为很小且处于可控范围内。表列出了部分标准模型预言。有限宽度效应以及系统的底层-波分量也已被讨论，未显示出显著贡献的迹象。,标准模型（SM）中对 和 的理论预测极为精确，因为强子不确定性在很大程度上相互抵消。 仅需用于分支比的压低部分。 涉及多个具有大量形状因子的螺旋度振幅，然而，由于标准模型的 结构以及轻子质量的微小性，其中一些振幅被压低，从而使得对这些量的理论控制良好。此外，电磁修正已被估计为很小且处于可控范围内 。一些标准模型的预测列于表 中。有限宽度效应以及该系统的底层 -波分量也已被讨论，结果表明没有显著贡献的迹象 。
